🇨🇳 央视,#genre#
CCTV1,http://119.34.132.114:4022/udp/225.1.101.138:11111
CCTV2,http://119.34.132.114:4022/udp/225.1.101.26:7523
CCTV3,http://119.34.132.114:4022/udp/225.1.101.121:7523
CCTV4,http://119.34.132.114:4022/udp/225.1.101.52:7523
CCTV5,http://119.34.132.114:4022/udp/225.1.101.187:7523
CCTV5+,http://119.34.132.114:4022/udp/225.1.101.124:7523
CCTV6,http://119.34.132.114:4022/udp/225.1.101.94:7523
CCTV7,http://119.34.189.53:22222/udp/225.1.101.27:7523
CCTV8,http://119.34.132.114:4022/udp/225.1.101.98:7523
CCTV9,http://119.34.132.114:4022/udp/225.1.101.28:7523
CCTV10,http://119.34.132.114:4022/udp/225.1.101.30:7523
CCTV11,http://119.34.132.114:4022/udp/225.1.101.100:7523
CCTV12,http://119.34.132.114:4022/udp/225.1.101.33:7523
CCTV13,http://119.34.132.114:4022/udp/225.1.101.125:7523
CCTV14,http://119.34.132.114:4022/udp/225.1.101.34:7523
CCTV15,http://119.34.132.114:4022/udp/225.1.101.160:7523
CCTV16,http://119.34.132.114:4022/udp/225.1.101.133:7523
CCTV17,http://119.34.132.114:4022/udp/225.1.101.161:7523
CCTV4K,http://119.34.132.114:4022/udp/225.1.101.109:7523
CCTV164K,http://119.34.132.114:4022/udp/225.1.101.130:7523
CETV1,http://119.34.132.114:4022/udp/225.1.101.84:7523
CETV4,http://119.34.132.114:4022/udp/225.1.101.170:7523
CGTN,http://119.34.132.114:4022/udp/225.1.101.3:7523
CGTN,http://119.34.132.114:4022/udp/225.1.101.180:7523
CGTN阿语,http://119.34.132.114:4022/udp/225.1.101.148:7523
CGTN俄语,http://119.34.132.114:4022/udp/225.1.101.67:7523
CGTN法语,http://119.34.132.114:4022/udp/225.1.101.165:7523
CGTN西语,http://119.34.132.114:4022/udp/225.1.101.93:7523

影视直播,#genre#

朱元璋,http://epg.112114.xyz/douyu/11686959
新三国,http://epg.112114.xyz/douyu/6546908
康熙微服私访,http://epg.112114.xyz/douyu/7550220
林正英,http://epg.112114.xyz/douyu/7356023
经典港剧,http://epg.112114.xyz/douyu/5061550
地下交通站,http://epg.112114.xyz/douyu/3831627
,http://epg.112114.xyz/douyu/
系列电视剧,https://live.metshop.top/yy/1458015189
三国演义【1994】,https://live.metshop.top/yy/1354930932
倚天屠龙记,https://live.metshop.top/yy/33300793
虎牙电影22,https://epg.112114.xyz/huya/14015002
BesTV-1「IPV6」,http://[2409:8087:1e03:21::42]:6610/cms001/ch00000090990000001148/index.m3u8?
